агглиутинaциа	агглютинaция
ацәа ақәҳара	советь
ацәа ақәҳара	сонливость
ацәа ақәҳара	сонь
акарахара	валик
акарахара	выбиться
акарахара	выдохнуться
акарахара	выложиться
акарахара	вымотаться
акарахара	загнаность
акарахара	замаяться
акарахара	замориться
акарахара	замучиться
акарахара	запариться
акарахара	затомиться
акарахара	измаяться
акарахара	измождение
акарахара	измориться
акарахара	измотаться
акарахара	измочалиться
акарахара	изнеможение
акарахара	изнемочь
акарахара	изнурительность
акарахара	изнуриться
акарахара	изнурение
акарахара	изобличение
акарахара	истаскаться
акарахара	истомиться
акарахара	истрепаться
акарахара	маяться
акарахара	набегаться
акарахара	наломаться
акарахара	намаяться
акарахара	намориться
акарахара	намотаться
акарахара	натрудиться
акарахара	перетрудиться
акарахара	переутомиться
акарахара	переутомление
акарахара	переутомлённость
акарахара	притомиться
акарахара	смаяться
акарахара	смориться
акарахара	убродиться
акарахара	умаяться
акарахара	умориться
акарахара	умучиться
акарахара	умыкаться
акарахара	уработаться
акарахара	усталость
акарахара	утомиться
акарахара	утомляемость
акарахара	утомляться
акарахара	утрудиться
акарахара	уходиться
анырҵәара	валик
анырҵәара	выведение
анырҵәара	выводка
анырҵәара	выкосить
анырҵәара	вылавливание
анырҵәара	вылов
анырҵәара	выловить
анырҵәара	вымаривание
анырҵәара	выморить
анырҵәара	вырезной
анырҵәара	геноцид
анырҵәара	губить
анырҵәара	избить
анырҵәара	извести
анырҵәара	изгубить
анырҵәара	истребить
анырҵәара	истребление
анырҵәара	косить
анырҵәара	кровный
анырҵәара	кровопролитный
анырҵәара	крошить
анырҵәара	крушить
анырҵәара	натощак
анырҵәара	натравливание
анырҵәара	перебить
анырҵәара	перегрызть
анырҵәара	перегубить
анырҵәара	переморить
анырҵәара	побоку
анырҵәара	погром
анырҵәара	поморить
анырҵәара	поражение
анырҵәара	распыл
анырҵәара	скашивание
анырҵәара	сокрушать
анырҵәара	уморить
анырҵәара	уничтожение
анырҵәара	уничтожить
ақәхара	валик
ақәхара	губить
ақәхара	перегубить
ақәхара	сгрузка
ақәхара	снятие
аилажьра	валик
аилажьра	валом
аилажьра	вздорный
аилажьра	громоздить
аилажьра	наваливание
аилажьра	нагон
аилажьра	нагромоздить
аилажьра	нахламить
аилажьра	повалять
аилажьра	разваливание
аилажьра	развалить
аилажьра	развалка
аилажьра	разложение
аилажьра	разложить
аилажьра	разрушение
аилажьра	разрушить
аилажьра	расшатать
аилажьра	свал
аилажьра	сваливание
аилажьра	свалить
аилажьра	свалка
аилажьра	скидать
агәырқьҳәа анеира	валить
аҭыббра	валить
акаҳара	валиться
акаҳара	взвалиться
акаҳара	вытряхнуться
акаҳара	колебаться
акаҳара	лететь
акаҳара	налететь
акаҳара	ниспасть
акаҳара	опрокидывание
акаҳара	падание
акаҳара	падать
акаҳара	падать
акаҳара	падение
акаҳара	патентование
акаҳара	перепадать
акаҳара	поважничать
акаҳара	повалиться
акаҳара	повергнуться
акаҳара	полегаемость
акаҳара	полегание
акаҳара	полеглость
акаҳара	полечь
акаҳара	прибиться
акаҳара	прилежание
акаҳара	пропадать
акаҳара	свалиться
акаҳара	свергнуться
акаҳара	сверзиться
акаҳара	свёртывание
акаҳара	скопытиться
акаҳара	снизиться
акаҳара	спад
акаҳара	упадок
акаҳара	упасть
акаҳара	хиреть
икыдҳан акаҳара	валиться
анаара	валиться
анаара	кособокость
анаара	кособочить
анаара	косоватость
анаара	косогор
анаара	крен
анаара	крениться
анаара	крутизна
анаара	наклон
анаара	наклонение
анаара	накрениться
анаара	откос
анаара	отлогость
анаара	покатость
анаара	покрепиться
анаара	пологость
анаара	скат
анаара	склон
анаара	скос
анаара	скособочиться
анаара	увал
анаара	угорье
анаара	уклон
акьынаара	валиться
акьынаара	искособочиться
акьынаара	кособокость
акьынаара	кособочить
акьынаара	косоватость
акьынаара	наклон
акьынаара	наклонение
ахынаара	валиться
ахынаара	завалиться
ахынаара	избочениться
ахынаара	искособочиться
ахынаара	наклон
ахынаара	наклонение
ахынаара	накрениться
ахынаара	перекачнуться
ахынаара	покачнуться
ахынаара	покатость
ахынаара	скашивание
ақәҳара	валиться
ақәҳара	застлаться
ақәҳара	ниспасть
ақәҳара	падать
аҽықәыжьра	валиться
аҽықәыжьра	взвалиться
аҽықәыжьра	шему
анҵәара	валиться
анҵәара	выгореть
анҵәара	вымереть
анҵәара	вымирание
анҵәара	дохнуть
анҵәара	заканчиваться
анҵәара	закончиться
анҵәара	известись
анҵәара	изгибнуть
анҵәара	измылиться
анҵәара	израсходоваться
анҵәара	исписаться
анҵәара	исстираться
анҵәара	иссякнуть
анҵәара	истечь
анҵәара	истощиться
анҵәара	истратиться
анҵәара	истребиться
анҵәара	исходить
анҵәара	исчерпаться
анҵәара	кончиться
анҵәара	окончание
анҵәара	оконченность
анҵәара	окончиться
анҵәара	отмирание
анҵәара	пагуба
анҵәара	пагубность
анҵәара	падать
анҵәара	падёж
анҵәара	передохнуть
анҵәара	переколеть
анҵәара	перемереть
анҵәара	повывестись
анҵәара	поколеть
анҵәара	покончиться
анҵәара	прикончиться
анҵәара	примереть
анҵәара	сойти
анҵәара	уняться
анҵәара	уплыть
усԥырцқьа	валиться
усԥырҵ	валиться
аԥҟара	валка
аԥҟара	взрез
аԥҟара	взрезать
аԥҟара	вскрикивание
аԥҟара	вскрывание
аԥҟара	вскрытие
аԥҟара	всхрапывать
аԥҟара	выкраивание
аԥҟара	выкроить
аԥҟара	вырубить
аԥҟара	вырубка
аԥҟара	закон
аԥҟара	закроить
аԥҟара	закрой
аԥҟара	закройка
аԥҟара	зарубка
аԥҟара	канон
аԥҟара	кроение
аԥҟара	наркотизироваться
аԥҟара	нарезка
аԥҟара	нарубка
аԥҟара	нарубание
аԥҟара	наставление
аԥҟара	обрезать
аԥҟара	операция
аԥҟара	оперирование
аԥҟара	перерез
аԥҟара	перерезаться
аԥҟара	перерезка
аԥҟара	перерезывание
аԥҟара	перерубка
аԥҟара	переруб
аԥҟара	перерубание
аԥҟара	перерубить
аԥҟара	пилить
аԥҟара	побои
аԥҟара	подрезание
аԥҟара	подрезать
аԥҟара	порез
аԥҟара	порезать
аԥҟара	порезаться
аԥҟара	правило
аԥҟара	прооперировать
аԥҟара	пропороть
аԥҟара	прорез
аԥҟара	прорва
аԥҟара	разрез
аԥҟара	разрезание
аԥҟара	разрезать
аԥҟара	разрезка
аԥҟара	разрезывание
аԥҟара	разрубание
аԥҟара	разрубить
аԥҟара	разрубка
аԥҟара	разруб
аԥҟара	раскраивание
аԥҟара	раскрой
аԥҟара	распороть
аԥҟара	резание
аԥҟара	резать
аԥҟара	резаться
аԥҟара	резка
аԥҟара	резьба
аԥҟара	рубить
аԥҟара	рубка
аԥҟара	сечение
аԥҟара	сечь
аԥҟара	скроить
аԥҟара	сруб
аԥҟара	срубание
аԥҟара	срубка
аԥҟара	условие
аԥҟара	хирургия
араара	валка
араара	вырубание
араара	вырубить
араара	вырубка
араара	навалять
араара	нарубка
араара	нарубание
араара	порубить
араара	порубка
аилараара	валка
арапара	валка
арапара	валяние
арапара	валяться
арапара	завалять
арапара	катание
арапара	катать
арапара	наездить
арапара	накатать
арапара	обмин
арапара	обмять
арапара	отвалять
арапара	свалять
арапара	скарб
арапара	трамбовка
арапара	трамбовать
арапара	убивка
арапара	убить
арапара	увал
арапара	увалка
арапара	увалять
арапара	укатать
арапара	укатка
арапара	укатывание
арапара	уколотить
арапара	утопать
арапара	утоптать
арапара	утрамбовать
арапара	утрамбовка
агазҽаз	валкий
игазҽазуа	валко
игазҽазуа	нетвёрдо
игазҽазуа	нетвёрдый
игазҽазуа	шаткий
агазҽазра	валкость
агазҽазра	покачивание
азеиԥш	валовой
азеиԥш	вселить
азеиԥш	всесветный
азеиԥш	генеральный
азеиԥш	общедоступный
азеиԥш	общеустановленный
азеиԥш	общий
азеиԥш	поголовный
азеиԥш	тотальный
азеиԥш	фронтальный
арамба	валок
арамбара	валкование
аҭәеизагара	валкование
аиқәыжьра	валом
аиқәыжьра	громоздить
аиқәыжьра	загромождение
аиқәыжьра	загрузочный
аиқәыжьра	наваливание
аиқәыжьра	навалить
аиқәыжьра	навалять
аиқәыжьра	наводнить
аиқәыжьра	наворотить
аиқәыжьра	нагромоздить
аиқәыжьра	свал
аиқәыжьра	сваливание
аиқәыжьра	свалить
аиқәыжьра	свалка
аиқәыжьра	скидать
аиқәыжьра	скидывание
аиқәыжьра	увалить
авалторна	валторна
авалторнарҳәаҩы	валторнист
аҳарыҟәа	валун
ахаҳәду	валун
аҳарыҟәатә	валунный
авальс	вальс
алырақәа рыҵгара	вальцевать
аҵлаԥҟаҩ	вальщик
абнаԥҟаҩ	вальщик
абнаԥҟаҩ	лесозаготовитель
абнаԥҟаҩ	лесоруб
абнарааҩ	вальщик
авалиута	валюта
арапаратә	валяльный
арапага	валяльный
арапага	каток
арапага	трамбовочный
арапаҩ	валяльщик
арапаҩ	трамбовщик
арапаҩ	шапка
аркәымпылра	валяние
аркәымпылра	валяться
аркәымпылра	завалять
аркәымпылра	катание
аркәымпылра	катать
аркәымпылра	катать
аркәымпылра	катить
аркәымпылра	обкат
аркәымпылра	обкатать
аркәымпылра	перекат
аркәымпылра	перекатить
аркәымпылра	перекатывание
аркәымпылра	развалять
аркәымпылра	раскат
аркәымпылра	раскатывание
аркәымпылра	скатка
аркәымпылра	скатывание
аркәымпылра	скат
аркәымпылра	скруглить
аларкәымпылра	валяние
аларкәымпылра	валяться
аларкәымпылра	вывалять
аларкәымпылра	завалять
аларкәымпылра	извалять
аларкәымпылра	обкатать
аларкәымпылра	панировать
аларкәымпылра	панировка
аларкәымпылра	перевалка
аларкәымпылра	увалять
аркәаптеира	валяние
аркәаптеира	валяться
аркәаптеира	кустарщина
аркәаптеира	портачить
аилаҟыбҭәара	валяние
аилаҟыбҭәара	варганить
аилаҟыбҭәара	неаккуратность
аилаҟыбҭәара	нескладность
аилаҟыбҭәара	сумбур
ишабалакь аҟаҵара	валяться
ахәарҭлаӷь	вампир
ахәарҭлаӷь	вурдалак
ахәарҭлаӷь	упырь
ахәарҭлаӷь	хитрец
ахәарҭлаӷь	шельма
ахәарҭлаӷь	шельмовский
аванадитә	ванадиевый
аванади	ванадий
авандал	вандал
арбгаҩы	вандал
арбгаҩы	разрушитель
архәашаҩы	вандал
авандализм	вандализм
аванилин	ванилин
аванилин	ванилиновый
аваниль	ваниль
аваниль	ванильный
аванна	ванна
аваннатә	ванная
аҽыкәабарҭатә	ванная
аҽыргаӡара	ванная
аҽыргаӡара	придуриваться
аҳәаԥа	вараз
аҳәаԥа	кабан
аҳәаԥа	кабаньий
аҳәаԥа	порос
аҳәаԥа	хряк
аварвар	варвар
амдыр	варвар
амдыр	невежда
амдыр	незнайка
амдыр	несмышлёный
амдыр	неуч
амдыр	профан
аварваризм	варваризм
аварвартә	варварский
гмыгрыла	варварский
гмыгрыла	злодейски
варварҵас	варварский
аварварра	варварство
агыгшәыгра	варварство
агыгшәыгра	дикость
агыгшәыгра	зверство
агыгшәыгра	каннибализм
агыгшәыгра	кровожадность
агыгшәыгра	палачество
агыгшәыгра	плотоядность
агыгшәыгра	хищность
аиқәырҽаҽара	варганить
аиқәырҽаҽара	замазывание
аиқәырҽаҽара	обтрёпанный
аиқәырҽаҽара	очковтирательство
аиқәырҽаҽара	подделать
аиқәырҽаҽара	подделывание
аиқәырҽаҽара	подложность
аиқәырҽаҽара	подтасовать
аиқәырҽаҽара	подтасовка
аиқәырҽаҽара	подтасовывание
аиқәырҽаҽара	фабрикация
аиқәырҽаҽара	фабриковать
аиқәырҽаҽара	фальсификация
аиқәырҽаҽара	фальсифицирование
аиқәырҽаҽара	фальсифицировать
аиларш	варево
аиларш	варение
анапҭарԥа	варежки
анапҭарԥа	руковица
анапхаз	варежки
анапхаз	перчатка
анапхаз	перчаточный
анапхаз	руковица
ажәра	варение
ажәра	вариться
ажәра	варить
ажәра	варка
ажәра	ветшать
ажәра	ветшать
ажәра	вкусить
ажәра	возлияние
ажәра	всасывание
ажәра	всосать
ажәра	выкушать
ажәра	выпивон
ажәра	выпить
ажәра	дряхлеть
ажәра	дряхлость
ажәра	застарелость
ажәра	застареть
ажәра	изветшать
ажәра	клюкнуть
ажәра	обветшалость
ажәра	обветшание
ажәра	одряхлеть
ажәра	одряхление
ажәра	остареть
ажәра	отварка
ажәра	отваривание
ажәра	отварить
ажәра	отжить
ажәра	поглотить
ажәра	поглотиться
ажәра	поглощение
ажәра	постареть
ажәра	преклонность
ажәра	преклонный
ажәра	припустить
ажәра	проваривание
ажәра	проварить
ажәра	провариться
ажәра	проварка
ажәра	проноситься
ажәра	пропустить
ажәра	разварить
ажәра	развариться
ажәра	распитие
ажәра	распить
ажәра	старение
ажәра	стареть
ажәра	стариться
ажәра	старость
ажәра	увар
ажәра	уваривание
ажәра	уварить
ажәра	увариться
ажәра	уварка
ажәра	употребить
ажәра	употребление
ажәра	устарелость
ажәра	устареть
ачахәажәа	вареник
ачаҳаржә	вареник
иршу	варённый
иршу	нагретый
иршу	раскалённый
агәыԥ	ватага
агәыԥ	групповод
агәыԥ	группа
агәыԥ	гурьба
агәыԥ	команда
агәыԥ	компания
агәыԥ	кучка
агәыԥ	отряд
агәыԥ	партия
агәыԥ	разряд
агәыԥ	ранг
агәыԥ	руно
арыԥшьшьаҩ	ваятель
абамба	вата
абамба	ватный
абамба	хлопковый
абамба	хлопок
авариант	вариант
аварианттә	вариантный
аиҭакратә	вариационный
аиҭакратә	модуляционный
аиҭакратә	преобразовательный
аиҭакратә	реформаторский
аиҭакратә	реформистский
аиҭакратә	трансформационный
ахәҭеиҭакратә	вариационный
авариациатә	вариационный
авариациа	вариация
аиҭакра	вариация
аиҭакра	варьировать
аиҭакра	конвертировать
аиҭакра	конверсия
аиҭакра	модулировать
аиҭакра	отконвертировать
аиҭакра	переиначивание
аиҭакра	переиначить
аиҭакра	перемена
аиҭакра	переменить
аиҭакра	переодевание
аиҭакра	переодеть
аиҭакра	переродить
аиҭакра	поменять
аиҭакра	преломление
аиҭакра	преломить
аиҭакра	реакция
аиҭакра	реформа
аиҭакра	реформация
аиҭакра	реформирование
аиҭакра	рецессия
аиҭакра	смена
аиҭакра	сменить
аиҭакра	спрягать
аиҭакра	трансформация
аиҭакра	трансформирование
аиҭакра	трансформировать
аиҭакра	чередование
ахәҭеиҭакра	вариация
аршра	вариация
аршра	варка
аршра	вскипятить
аршра	выгонка
аршра	выкипятить
аршра	выкурить
аршра	горячить
аршра	греть
аршра	дистилляция
аршра	добела
аршра	заваривание
аршра	калить
аршра	кипятить
аршра	кипячение
аршра	нагорье
аршра	нагрев
аршра	нагревание
аршра	нагреть
аршра	нажарить
аршра	нажечь
аршра	назализироваться
аршра	накал
аршра	накаливание
аршра	накалить
аршра	накалка
аршра	накидной
аршра	накурить
аршра	отгон
аршра	отогнать
аршра	перегнать
аршра	перегонка
аршра	подогрев
аршра	подогревание
аршра	подогреть
аршра	прогрев
аршра	прогревание
аршра	прогреть
аршра	прокалывание
аршра	прокалить
аршра	разгорячить
аршра	разжечь
аршра	разжиг
аршра	разогрев
аршра	разогревание
аршра	разогреть
аршра	раскалить
аршра	распалить
аидырҭәалара	вариация
аидырҭәалара	заваривание
аидырҭәалара	запаивание
аидырҭәалара	запаять
аидырҭәалара	приварка
аидырҭәалара	провар
аидырҭәалара	проваривание
аидырҭәалара	проварить
аидырҭәалара	проварка
аидырҭәалара	пропаять
аидырҭәалара	сваривание
аидырҭәалара	сварить
аидырҭәалара	спаивание
аидырҭәалара	спай
аидырҭәалара	спайка
аидырҭәалара	спаять
ихы бзиоуп	вариация
арҭәара	варка
арҭәара	вылить
арҭәара	выплавка
арҭәара	вытапливание
арҭәара	литьё
арҭәара	наплавить
арҭәара	натопить
арҭәара	отливка
арҭәара	отлитие
арҭәара	отлить
арҭәара	перелив
арҭәара	плавильный
арҭәара	плавить
арҭәара	плавка
арҭәара	плавление
арҭәара	проплав
арҭәара	проплавить
арҭәара	проплавка
арҭәара	протопить
арҭәара	расплавить
арҭәара	расплавка
арҭәара	расплавление
арҭәара	растапливание
арҭәара	растопить
арҭәара	растопка
арҭәара	слиток
арҭәара	слить
арҭәара	топление
арҭәара	топить
аршыга	варница
аршыга	выварочный
аршыга	горелка
аршыга	дистиллятор
аршыга	калильный
аршыга	кипятильник
аршыга	кипятильный
аршыга	подогреватель
аршыга	подогревательный
арҭәага	варница
арҭәага	варочный
арҭәага	изложница
арҭәага	калильный
арҭәага	кокиль
арҭәага	плавильник
арҭәага	плавильный
арҭәага	тигель
агәара	варок
агәара	городить
агәара	забор
агәара	загон
агәара	изгородь
агәара	надворье
агәара	налечь
агәара	напереть
агәара	напирать
агәара	огорожа
агәара	ограда
агәара	оттиснуть
агәара	подталкивание
агәара	подталкивать
агәара	приналечь
агәара	пхнуть
агәара	стена
агәара	толкание
агәара	толкать
ахкаара	варок
ахкаара	выгул
ахкаара	городить
ахкаара	городить
ахкаара	загон
ахкаара	загораживание
ахкаара	загородить
ахкаара	загородка
ахкаара	обвод
ахкаара	обводка
ахкаара	обноситься
ахкаара	огораживание
ахкаара	огородить
ахкаара	оградить
ахкаара	ограждение
ахкаара	отгораживание
ахкаара	отгородить
ажәратә	варочный
ажәратә	всасывательный
ажәратә	старческий
ажәыга	варочный
аршратә	варочный
ашыга	варочный
арҭәаратә	варочный
авариете	варьете
аԥсахра	варьировать
аԥсахра	выменять
аԥсахра	двурушничать
аԥсахра	двурушничество
аԥсахра	заимствовать
аԥсахра	замена
аԥсахра	заменить
аԥсахра	замещать
аԥсахра	замещение
аԥсахра	занять
аԥсахра	заступить
аԥсахра	заступить
аԥсахра	измена
аԥсахра	изменение
аԥсахра	изменить
аԥсахра	изменить
аԥсахра	изменничество
аԥсахра	мена
аԥсахра	менять
аԥсахра	меняться
аԥсахра	обмен
аԥсахра	отступничество
аԥсахра	переворот
аԥсахра	переделать
аԥсахра	переделка
аԥсахра	переделывание
аԥсахра	перезванивание
аԥсахра	переиначивание
аԥсахра	переиначить
аԥсахра	перемежать
аԥсахра	переменить
аԥсахра	переменчивость
аԥсахра	переодевание
аԥсахра	переодеть
аԥсахра	переродить
аԥсахра	подмёточный
аԥсахра	подставить
аԥсахра	подстановка
аԥсахра	позаимствовние
аԥсахра	позаимствовать
аԥсахра	поменять
аԥсахра	почерпнуть
аԥсахра	предательство
аԥсахра	предать
аԥсахра	прелюбодеяние
аԥсахра	преломить
аԥсахра	преображение
аԥсахра	преобразить
аԥсахра	преобразовать
аԥсахра	продать
аԥсахра	размен
аԥсахра	разменять
аԥсахра	ренегатство
аԥсахра	ронять
аԥсахра	смена
аԥсахра	сменить
аԥсахра	сменяемость
аԥсахра	трансформация
аԥсахра	трансформирование
аԥсахра	трансформировать
аҽеиҭакра	варьироваться
аҽеиҭакра	видоизмениться
аҽеиҭакра	измениться
аҽеиҭакра	изменяемость
аҽеиҭакра	модифицироваться
аҽеиҭакра	перевоплатиться
аҽеиҭакра	перевоплощение
аҽеиҭакра	переделаться
аҽеиҭакра	перемена
аҽеиҭакра	перемениться
аҽеиҭакра	переоблачиться
аҽеиҭакра	переодевание
аҽеиҭакра	переодеться
аҽеиҭакра	переродиться
аҽеиҭакра	перерождение
аҽеиҭакра	поменяться
аҽеиҭакра	преломление
аҽеиҭакра	преломиться
аҽеиҭакра	преображение
аҽеиҭакра	преобразить
аҽеиҭакра	преобразиться
аҽеиҭакра	реформироваться
аҽеиҭакра	сменить
аҽеиҭакра	трансформизм
аҽеиҭакра	трансформирование
аҽеиҭакра	тратиться
аҽеиҭакра	чередование
аҽыԥсахра	варьироваться
аҽыԥсахра	видоизмениться
аҽыԥсахра	изменение
аҽыԥсахра	измениться
аҽыԥсахра	колебаться
аҽыԥсахра	модифицироваться
аҽыԥсахра	перевернуться
аҽыԥсахра	переделаться
аҽыԥсахра	перековаться
аҽыԥсахра	перековка
аҽыԥсахра	перемена
аҽыԥсахра	перемениться
аҽыԥсахра	переменчивость
аҽыԥсахра	переоблачиться
аҽыԥсахра	переодеться
аҽыԥсахра	переродиться
аҽыԥсахра	перерождение
аҽыԥсахра	поменяться
аҽыԥсахра	преломление
аҽыԥсахра	преломиться
аҽыԥсахра	преображение
аҽыԥсахра	преобразоваться
аҽыԥсахра	разнообразиться
аҽыԥсахра	реакция
аҽыԥсахра	смениться
аҽыԥсахра	текучесть
аҽыԥсахра	трансформирование
авариаг	варьяг
анорман	варьяг
авариагтә	варьяжский
анормантә	варьяжский
аҽашәҭ	василёк
аҽадарҟаагатә	васильковый
акәартанаҟьытә	васильковый
ацәблатә	васильковый
ахьыԥшы	вассал
ахьыԥшы	подвластный
ахьыԥшы	подневольный
ахьыԥшытә	вассальный
агәыԥтә	ватажный
агәыԥтә	кружковой
агәыԥтә	отрядный
агәыԥтә	стайный
амыҷҟартә	ватажный
ашьышьма	ватерклозет
ашьышьма	нужник
ашьышьма	сортир
ашьышьма	туалет
ашьышьма	уборная
аӡыртәа	ватерлиния
аӡыцәаҳәа	ватерлиния
алар	ватерпас
алар	отволока
алар	шовинистский
аҭераз	ватерпас
аҭераз	уровень
аџьуа	ватерпас
аџьуа	ртуть
аџьуа	уровень
аватерполо	ватерполо
аватерполотә	ватерпольный
аватин	ватин
аватман	ватман
аватмантә	ватманский
агәабанақь	ватник
агәабанақь	шубный
абамбакьаҿ	ватник
абамбакьаҿ	кацавейка
абамбакьаҿ	телогрейка
абамбакьаҿ	фуфайка
ачаӷәазал	ватрушка
аватт	ватт
аваттшәага	ваттметр
авафлиаӡыга	вафельница
авафлиатә	вафельный
авафлиа	вафля
ашьшьылаҳа	вахлак
ашьшьылаҳа	клуша
ашьшьылаҳа	копотливый
ашьшьылаҳа	копун
ашьшьылаҳа	ленивый
ашьшьылаҳа	медлительный
ашьшьылаҳа	мешковатый
ашьшьылаҳа	мешкотный
ашьшьылаҳа	неподвижный
ашьшьылаҳа	неповоротливый
ашьшьылаҳа	пентюх
ашьшьылаҳа	рохля
ашьшьылаҳа	рыба
ашьшьылаҳа	тютя
ашьшьылаҳа	увалень
авахмистр	вахмистр
авахмистртә	вахмистрский
авахта	вахта
аҷаԥшьацәа	вахта
аҷаԥшьацәа	охрана
аҟарулцәа	вахта
аҷаԥшьарҭа	вахта
аҷаԥшьарҭа	дежурка
аҷаԥшьарҭа	караульная
аҟарулҭыԥ	вахта
аҷаԥшьаҩтә	вахтенный
аҷаԥшьаҩтә	постовой
аҟарултә	вахтенный
аҟарултә	караульный
аҟарултә	постовой
аҷаԥшьаҩ	вахтенный
аҷаԥшьаҩ	караульный
аҷаԥшьаҩ	караульщик
аҷаԥшьаҩ	охранитель
аҷаԥшьаҩ	охранник
аҷаԥшьаҩ	секюрити
аҷаԥшьаҩ	сиделка
аҷаԥшьаҩ	сторож
аҷаԥшьаҩ	часовой
аҟарул	вахтенный
аҟарул	караул
аҟарул	караульный
аҟарул	караульщик
аҟарул	охранник
аҟарул	пост
аҟарул	постовой
аҟарул	страж
аҟарул	стража
аҟарул	часовой
авахта мҩаԥызго	вахтенный
аҷаԥшьацәа реиҳабы	вахтер
арыԥшьшьара	ваяние
арыԥшьшьара	ваять
аҳатәыраҟаҵара	ваять
аҩнаххра	вбежать
аҩнаххра	вкатиться
аҩнаххра	влететь
аҩнаххра	внестись
уҩны аҩналара	вбежать
уҩны аҩналара	ворваться
уҩны ахалара	вбежать
уҩны ахалара	взбежать
ахаԥалара	вбежать
ахаԥалара	взбежать
ахаԥалара	взметнуться
ахаԥалара	впрыгнуть
ахаԥалара	вскинуться
ахаԥалара	вскочить
ахаԥалара	вспрыгнуть
ахаԥалара	высотка
ахаԥалара	заскочить
ахаԥалара	напороться
ахаԥалара	напороть
ахаԥалара	наскочить
аҵаҵара	вбивание
аҵаҵара	вбить
аҵаҵара	вкопать
аҵаҵара	воткнуть
аҵаҵара	врыть
аҵаҵара	вставить
аҵаҵара	забивка
аҵаҵара	забить
аҵаҵара	зарывание
аҵаҵара	подбить
аҵаҵара	подброска
аҵаҵара	подведение
аҵаҵара	подвёртывание
аҵаҵара	подвести
аҵаҵара	поддевание
аҵаҵара	подкашлянуть
аҵаҵара	подкидывание
аҵаҵара	подкладывание
аҵаҵара	подложить
аҵаҵара	подостлать
аҵаҵара	подстилание
аҵаҵара	подсунуть
аҵаҵара	положить
аҵаҵара	положить
аҵаҵара	припуск
аҵаҵара	припуск
аҵаҵара	припустить
аҵацалара	вбивание
аҵацалара	вбить
аҵацалара	вколотить
аҵацалара	вогнать
аҵацалара	всадить
аҵацалара	забивание
аҵацалара	забивка
аҵацалара	загнать
аҵацалара	заколачивание
аҵацалара	заколотить
аҵацалара	осадить
аҵацалара	подгон
аҵацалара	подогнать
алаҵара	вбивание
алаҵара	вбить
алаҵара	ввести
алаҵара	ввести
алаҵара	ввести
алаҵара	вклад
алаҵара	вкладывание
алаҵара	включить
алаҵара	вколотить
алаҵара	вколоть
алаҵара	влепить
алаҵара	влить
алаҵара	влюблённо
алаҵара	вложить
алаҵара	вмуровать
алаҵара	внесение
алаҵара	внесение
алаҵара	внести
алаҵара	внести
алаҵара	вношение
алаҵара	вогнать
алаҵара	вонзить
алаҵара	воткнуть
алаҵара	впрыскивание
алаҵара	впрыснуть
алаҵара	впускание
алаҵара	впустить
алаҵара	вставить
алаҵара	высев
алаҵара	высевание
алаҵара	высевка
алаҵара	высеять
алаҵара	доставить
алаҵара	забивание
алаҵара	забивка
алаҵара	забить
алаҵара	загнать
алаҵара	загнать
алаҵара	закладка
алаҵара	заколоть
алаҵара	зарыться
алаҵара	засев
алаҵара	засевание
алаҵара	засеивание
алаҵара	засеять
алаҵара	засчитать
алаҵара	зачисление
алаҵара	зачислить
алаҵара	класть
алаҵара	класть
алаҵара	колоть
алаҵара	наколоть
алаҵара	намешать
алаҵара	насеять
алаҵара	натыкать
алаҵара	нашпилить
алаҵара	обсев
алаҵара	перекладка
алаҵара	перекладывание
алаҵара	перелог
алаҵара	погружение
алаҵара	погрузить
алаҵара	подача
алаҵара	подколоть
алаҵара	помеха
алаҵара	посев
алаҵара	пошпынять
алаҵара	прививание
алаҵара	прививка
алаҵара	приволакиваться
алаҵара	прикалывание
алаҵара	приколоть
алаҵара	примешать
алаҵара	преобуть
алаҵара	приткнуть
алаҵара	пришпилить
алаҵара	проколоть
алаҵара	пропороть
алаҵара	простлать
алаҵара	прошпиговать
алаҵара	пырнуть
алаҵара	распространить
алаҵара	распускание
алаҵара	сдача
алаҵара	сеяние
алаҵара	сеять
алаҵара	сопричислить
алаҵара	тыкать
алаҵара	укол
алаҵара	уколоть
арсра	вбивание
арсра	вбить
арсра	забивание
арсра	забить
арсра	перебраться
арсра	переезд
арсра	переехать
арсра	перейти
арсра	переправа
арсра	пересекание
арсра	перехождение
арсра	преклонить
арсра	скрещивание
арсра	случить
арсра	случка
арсра	спарить
азааигәара	вблизи
азааигәара	подле
азааигәара	рядом
азааигәара	сразу
агәы аҿыхара	вбодриться
агәы аҿыхара	взбодриться
аварахь	вбок
аварахь	набок
ԥанла арра	вброд
аҩнажьра	вбросить
аҩнажьра	ввалить
аҩнажьра	ввергнуть
аҩнажьра	вверзить
аҩнажьра	вкидать
аҩнажьра	вкинуть
аҩнажьра	заваливание
аҩнаршәра	вбросить
аҩнаршәра	вкидать
аҩнаршәра	вкинуть
аҭаршәра	вбросить
аҭаршәра	вкидать
аҭаршәра	вкинуть
аҭаршәра	влезть
аҭаршәра	выстлать
аҭаршәра	забить
аҭаршәра	заброс
аҭаршәра	забросить
аҭаршәра	закинуть
аҭаршәра	застилание
аҭаршәра	застилка
аҭаршәра	застлать
аҭаршәра	попасть
абжьажьра	вбросить
абжьажьра	вкидать
абжьажьра	вкинуть
